# 《余烬商队》N2 战斗系统总表 v0.1

| 模块        | 子项      | 当前定稿 / 建议值                                              | 设计说明                                       |
| --------- | ------- | ------------------------------------------------------- | ------------------------------------------ |
| N2 定位     | 战斗系统定位  | 长线商队 RPG + 战术卡牌 + 货车保护 + 状态流派                           | 战斗不是单纯杀怪，而是服务于商队旅程、订单、资源和路线压力。             |
| 战斗目标      | 基础目标    | 击败敌人，减少角色损耗                                             | 普通战斗主要制造连续磨损。                              |
| 战斗目标      | 商队目标    | 保护货车、保护货物、避免重伤、节省补给和零件                                  | 与《杀戮尖塔》最大区别之一：战斗结果会影响大地图旅程。                |
| 行动力       | 基础行动力   | 全队共用 3 点行动力                                             | 三人小队共享行动力，每回合需要在攻击、防御、治疗、修车、护车之间取舍。        |
| 行动力       | 中后期成长   | 可通过稀有成长、旧文明装置、车辆模块等提升到 4                                | 常态 5 点行动力不建议，5 更适合作为临时爆发。                  |
| 技能费用      | 0 费     | 铺垫、小辅助、标记类                                              | 不能太多，避免行动力体系失控。                            |
| 技能费用      | 1 费     | 主力技能                                                    | 大部分基础技能为 1 费。                              |
| 技能费用      | 2 费     | 强力技能、爆发技能、关键技能                                          | 例如射手灰核射击、护路人重击。                            |
| 防御系统      | 护盾      | 当前回合临时防御，回合结束清空                                         | 可挡普通攻击、破甲攻击、灼烧伤害。若完全挡住攻击，可阻止流血施加。          |
| 防御系统      | 护甲      | 长期普通防御，直到被打掉                                            | 只挡普通攻击。不挡破甲攻击、流血、灼烧、灰蚀，也不能阻止负面状态施加。        |
| 防御系统      | 屏障      | 高级防御，直到被打掉                                              | 可挡普通攻击、破甲攻击、灼烧、灰蚀、大多数负面施加和流血施加，但挡不住已有流血伤害。 |
| 攻击类型      | 普通攻击    | 结算顺序：屏障 → 护盾 → 护甲 → 生命                                  | 大多数普通伤害都走这个结算。                             |
| 攻击类型      | 破甲攻击    | 结算顺序：屏障 → 护盾 → 生命                                       | 破甲不是状态，而是攻击类型。无视护甲，但不能无视护盾和屏障。             |
