| 分类   | 项目       | 建议值 / 规则                   | 说明                 |
| ---- | -------- | -------------------------- | ------------------ |
| 时间   | 1 步      | 1 天                        | 路线、订单、天气、休养统一按天计算  |
| 路线   | 城市到第一个驿站 | 18–24 天                    | 第一段路按约 20 天校准      |
| 路线   | 标准路线     | 55–75 天                    | 中间约 2 个驿站          |
| 路线   | 中线       | 80–120 天                   | 3–4 个驿站            |
| 路线   | 长线       | 130–180+ 天                 | 5 个以上驿站            |
| 初始资源 | 初始金钱     | 180 金                      | 能买到第一段路资源，但不能全买满   |
| 初始资源 | 初始士气     | 6 / 10                     | 士气小数字，掉 1 点就有压力    |
| 初始资源 | 货车最大耐久   | 100                        | 货车作为第四名队友          |
| 初始资源 | 初始货车耐久   | 85 / 100                   | 出发前可选择是否修满         |
| 补给   | 城市补给价格   | 2 金 / 个                    | 城市为标准价             |
| 补给   | 每移动 1 天  | 消耗 1 补给                    | 直观、好算              |
| 补给   | 第一段推荐携带  | 25–30 补给                   | 到第一个驿站约 20 天，留余量   |
| 补给   | 缺补给移动    | 士气 -1，全队每人 -2 生命           | 不立刻死，但很痛           |
| 零件   | 城市零件价格   | 8 金 / 个                    | 比补给贵，是关键资源         |
| 零件   | 第一段推荐携带  | 4–6 零件                     | 修车、事件、技能、事故处理      |
| 出发采购 | 推荐方案     | 30 补给 + 5 零件               | 花费 100 金，剩 80 金    |
| 出发采购 | 保守方案     | 35 补给 + 6 零件               | 花费 118 金，剩 62 金    |
| 出发采购 | 冒险方案     | 25 补给 + 4 零件               | 花费 82 金，剩 98 金     |
| 等待   | 城市等待 1 天 | 1 补给 + 1 金                 | 休养 +1，天气推进，订单期限 -1 |
| 等待   | 驿站等待 1 天 | 1 补给 + 2 金                 | 驿站更贵               |
| 等待   | 城市无补给等待  | 4 金 / 天                    | 用钱买食宿              |
| 等待   | 驿站无补给等待  | 6 金 / 天                    | 救急但很亏              |
| 修车   | 城市修车     | 1 零件 + 3 金 = 修 15 耐久       | 最划算                |
| 修车   | 驿站修车     | 1 零件 + 5 金 = 修 10 耐久       | 能救急，但贵             |
| 修车   | 野外急修     | 1 零件 = 修 8 耐久              | 临时续命               |
| 修车   | 修补师野外急修  | 1 零件 = 修 10 耐久             | 修补师体现价值            |
| 治疗   | 城市普通治疗   | 10 金 / 人                   | 恢复生命，具体恢复量 N2 定    |
| 治疗   | 城市减少休养   | 20 金 / 人，减少 2 天            | 城市治疗效率高            |
| 治疗   | 城市治疗失能   | 60 金 / 人                   | 第 3 次重伤后救回         |
| 治疗   | 驿站普通治疗   | 12 金 / 人                   | 比城市贵               |
| 治疗   | 驿站减少休养   | 20 金 / 人，减少 1 天            | 效率低                |
| 治疗   | 驿站治疗失能   | 不可治疗                       | 失能必须回城市            |
| 士气   | 酒馆小聚     | 15 金，士气 +1                 | 士气 7 以下有效          |
| 士气   | 商队宴席     | 40 金，士气 +2                 | 每次到城限 1 次          |
| 士气   | 豪华休整     | 80 金，士气 +2，全队少量恢复          | 士气 8 以下有效          |
| 士气   | 花钱提升限制   | 每次到城最多通过消费提升 2 点           | 防止用钱刷满士气           |
| 士气   | 士气 9–10  | 主要靠订单、强敌、事件、城市复兴获得         | 不能简单花钱买满           |
| 驿站   | 普通驿站补给   | 3 金 / 个                    | 比城市贵               |
| 驿站   | 普通驿站零件   | 12 金 / 个                   | 比城市贵               |
| 驿站   | 普通驿站限购   | 补给 30–60，零件 4–8            | 不能无限补货             |
| 驿站   | 小驿站限购    | 补给 15–30，零件 2–4            | 只能救急               |
| 驿站   | 偏远驿站价格   | 补给 4 金，零件 16 金             | 偏远地区更贵             |
| 驿站   | 偏远驿站限购   | 补给 10–25，零件 1–3            | 压力更大               |
| 驿站   | 灾害天气加价   | 额外 +25% 到 +50%             | 灾害期间物资更贵           |
| 驿站   | 库存恢复     | 每 10–15 天少量恢复              | 防止驿站变无限仓库          |
| 战斗奖励 | 普通战斗     | 12–24 金，2–6 补给，0–1 零件      | 补损耗，但不能刷富          |
| 战斗奖励 | 普通战斗完整记忆 | 默认不给                       | 卡牌/记忆变稀缺           |
| 战斗奖励 | 精英战斗     | 40–70 金，6–12 补给，1–3 零件     | 可给记忆/装备，后续细化       |
| 订单   | 短途订单     | 距离 35–50 天，奖励 100–160 金    | 教学和早期订单            |
| 订单   | 标准订单     | 距离 55–75 天，奖励 180–280 金    | 主力订单               |
| 订单   | 中途订单     | 距离 80–120 天，奖励 320–520 金   | 开始有路线压力            |
| 订单   | 长途订单     | 距离 130–180 天，奖励 600–900 金  | 远征订单               |
| 订单倍率 | 普通订单     | ×1.0                       | 稳定                 |
| 订单倍率 | 加急订单     | ×1.3–×1.6                  | 期限更短               |
| 订单倍率 | 危险订单     | ×1.5–×2.0                  | 更容易触发强敌 / Boss     |
| 订单倍率 | 护送订单     | ×1.4–×1.8                  | 保护目标，失败风险高         |
| 订单倍率 | 高价值货物订单  | ×1.8–×2.5                  | 更容易触发抢货 / 追击       |
| 订单惩罚 | 轻微逾期     | 奖励 -20%                    | 仍可交付               |
| 订单惩罚 | 严重逾期     | 奖励 -50%                    | 收益大降               |
| 订单惩罚 | 关键货物受损   | 奖励 -30% 到 -70%             | 看损坏程度              |
| 订单惩罚 | 关键货物被毁   | 订单失败                       | 可能还影响声望            |
| 全队倒下 | 货物       | 全部损失                       | 主要惩罚               |
| 全队倒下 | 补给 / 零件  | 全部损失                       | 回到最近驿站重整           |
| 全队倒下 | 位置       | 退回最近驿站                     | 不删档                |
| 全队倒下 | 士气       | -2                         | 压力很大               |
| 全队倒下 | 货车耐久     | 降到 20 / 100                | 需要修车               |
| 全队倒下 | 金钱       | 暂不扣                        | 避免彻底死档             |
| 火种   | 资源定位     | 完整战略资源，不做碎片                | 每一个都很重要            |
| 火种   | 普通战斗     | 不掉                         | 防止泛滥               |
| 火种   | 精英怪      | 小概率掉 1 个完整火种               | 作为惊喜               |
| 火种   | Boss     | 必定掉 1 个完整火种                | 形成稳定期待             |
| 火种   | 重要 Boss  | 1–2 个火种                    | 剧情/城市级奖励           |
| 火种   | 据点来源     | 巢穴、匪徒营地、灰烬兽巢、旧文明遗迹有概率获得    | 鼓励探索               |
| 火种用途 | 城市重建     | 恢复供能、修复设施、重建商路信标           | 不叫解锁               |
| 火种用途 | 特殊强化     | 战技变体、特殊强化                  | 不做普通 + 数值          |
| 火种用途 | 旧文明装置    | 激活护盾核心、能量炮、灰烬稳定器等          | 可逆转战局              |
| 火种用途 | 特殊剧情     | 打开避难所、修复火台、推进主线            | 剧情关键道具             |
| 火种用途 | 高级谈判     | 和势力、Boss、神秘商人交易            | 作为高端筹码             |
| 火种交易 | 可交易      | 旧文明装置、特殊图纸、特殊记忆、剧情通行权、势力协议 | 高端交易               |
| 火种交易 | 不可交易     | 装备、车辆模块、普通消耗品、补给、零件、治疗     | 防止变高级金币            |
| 余烬核心 | 资源定位     | 主线/城市复兴关键货物                | 商队护送目标             |
| 余烬核心 | 用途       | 运到城市后恢复能源、重建设施、推进文明网络      | 黑潮后的核心任务           |
| 余烬核心 | 风险       | 被抢、被毁、被污染会导致订单失败或城市复兴受阻    | 可绑定 Boss / 护送战     |
